Tipo de cultivo,R^2,Adjusted R^2,MAE,MSE,RMSE,Promedio real,ERROR,More than 20,More than 15,More than 10,provincia,departamento,cultivo,campana,sup_sembrada,prom_temperature_2m_max,prom_temperature_2m_min,prom_temperature_2m_mean,prom_precipitation_sum,prom_rain_sum,prom_precipitation_hours,sum_rain_total,sum_precipitation_total,sum_precipitation_hours_total
Limón,0.8964923738845165,0.8938187451656664,1821.27289407814,8416325.541612495,2901.0904056255285,10735.673249551168,0.16964682621597887,0,1,1,0.07791338,0.004831955,0.005558516,0.014436766,0.0044935294,0.0009961583,0.0050252145,0.010668839,0.008786594,0.006420797,0.01199585,0.05327799,0.018040916,8.391524e-06
Girasol,0.8116577084774164,0.8106191924942276,204.8173684857278,77155.10615235764,277.768079793841,1469.8104933437744,0.13934950758160292,0,0,1,0.0007573633,0.0009141244,0.0015779185,0.005380792,0.0010328826,0.0052148015,0.0031764403,0.0027776093,0.0,0.052882735,0.018782651,0.0022991218,0.0017855106,0.001589095
Té,0.8066204788053017,0.7943701923947779,860.1594836994753,1642842.7056762218,1281.7342570424737,6308.822033898305,0.13634232810462898,0,0,1,0.004702721,0.004679881,0.0010608649,0.003981872,0.0026987027,0.0,0.003462262,0.01426916,0.0,0.029830147,0.0024244878,0.0,0.0024539442,0.00025286246
Cebada cervecera,0.7968653764478484,0.794261086402308,370.2420263275329,278944.42098034685,528.1518919594503,2022.8166214995483,0.18303291677179626,0,1,1,0.0035747394,0.0011277974,0.0015558678,0.0014923046,0.0024137255,0.011850588,0.0026239147,0.006940073,0.0017399753,0.0026391824,0.05563025,0.0,0.0033282267,0.0046958034
Centeno,0.656035126219491,0.6526676379447167,269.7833839628317,167681.4322691628,409.4892333983432,660.078892733564,0.40871384759113605,1,1,1,0.010135275,0.0030781827,0.0036483181,0.009948671,0.0035043764,0.0013893152,0.0038672744,0.0024942602,0.0010108947,0.00418523,0.022570502,0.0,0.0,0.0
Cebada total,0.6709248499443525,0.6522728171476762,526.6672398225041,623271.356151148,789.475367665862,3163.992366412214,0.16645654566471493,0,1,1,0.002341975,0.004813105,0.0043206518,0.00929641,0.025573319,0.0031257241,0.0052023,0.015928451,0.0128918,0.008847917,0.52536815,0.025114011,0.037479494,0.009271903
Arroz,0.86432476193185,0.8603839873821527,430.2095080247108,345825.257414222,588.0690923813477,4535.482897384306,0.09485417931414102,0,0,0,0.003819998,0.0014995316,0.0029875042,0.004902242,0.0015767523,0.0,0.0045769014,0.0075606224,0.0,0.19936833,0.0024868578,0.005468167,0.1335569,0.0029210295
Soja total,0.7417320220946518,0.7404498406440579,291.3439363402244,149219.13275829024,386.2889239394397,2037.8451499118166,0.14296667062893942,0,0,1,0.010168037,0.0032698077,0.0035191912,0.0028740508,0.002557205,0.0,0.0039379867,0.015944136,0.0022509967,0.0036579208,0.01326859,0.0018869331,0.0120938765,0.0029613336
Algodón,0.70440643811224,0.7004157825033406,213.14348622601295,118142.38926256723,343.71847384533646,1276.787072243346,0.16693737809509196,0,1,1,0.0027137182,0.00096768973,0.0010789381,0.004160196,0.0029643853,0.0009660825,0.0014126736,0.0012455995,0.100491695,0.009801847,0.0076607354,0.0064006154,0.013174943,0.007741329
Alpiste,0.5320543739196535,0.5194558378328749,184.34175460672824,96813.7990505528,311.149158845967,1022.7981308411215,0.18023278401489704,0,1,1,0.0030745347,0.0031883826,0.0026112872,0.002557653,0.0029356317,0.0,0.0033755254,0.0051282295,0.0,0.016695987,0.082621895,0.00482044,0.0020006662,0.004132275
